Unnamed: 0,INDEX_COLUMN,DESTPORT,PROTOCOL,SERVICE
0,0,443,TCP,HTTPS
1,1,80,TCP,HTTP
2,2,6969,UDP,HTTP
3,3,53,UDP,DNS
4,4,443,TCP,HTTPS
5,5,443,TCP,HTTPS
6,6,443,TCP,HTTPS
7,7,80,TCP,HTTP
8,8,5222,TCP,XMPP
9,9,53,UDP,DNS
10,10,443,TCP,HTTPS
11,11,443,TCP,HTTPS
12,12,443,TCP,HTTPS
13,13,443,TCP,HTTPS
14,14,443,UDP,HTTPS
15,15,443,TCP,HTTPS
16,16,53,UDP,DNS
17,17,443,TCP,HTTPS
18,18,443,TCP,HTTPS
19,19,443,TCP,HTTPS
20,20,443,TCP,HTTPS
21,21,443,TCP,HTTPS
22,22,53,UDP,DNS
23,23,443,TCP,HTTPS
24,24,21,TCP,FTP
25,25,443,TCP,HTTPS
26,26,9100,UDP,TELNET
27,27,80,TCP,HTTP
28,28,21,TCP,FTP
29,29,443,TCP,HTTPS
30,30,587,TCP,UBIQUITY
31,31,53,UDP,DNS
32,32,443,UDP,HTTPS
33,33,443,TCP,HTTPS
34,34,53,UDP,DNS
35,35,53,UDP,DNS
36,36,53,UDP,DNS
37,37,53,UDP,DNS
38,38,443,TCP,HTTPS
39,39,5432,TCP,MDS
40,40,3128,TCP,HTTP
41,41,443,TCP,HTTPS
42,42,443,TCP,HTTPS
43,43,443,TCP,HTTPS
44,44,21,TCP,FTP
45,45,53,UDP,DNS
46,46,443,TCP,HTTPS
47,47,53,UDP,DNS
48,48,443,TCP,HTTPS
49,49,443,TCP,HTTPS
50,50,80,TCP,HTTP
51,51,443,TCP,HTTPS
52,52,443,TCP,HTTPS
53,53,443,TCP,HTTPS
54,54,443,TCP,HTTPS
55,55,443,TCP,HTTPS
56,56,443,TCP,HTTPS
57,57,5432,UDP,VNC
58,58,10051,TCP,ZABBIX
59,59,443,TCP,HTTPS
60,60,443,TCP,HTTPS
61,61,53,UDP,DNS
62,62,443,TCP,HTTPS
63,63,53,UDP,DNS
64,64,443,TCP,HTTPS
65,65,137,TCP,ZABBIX
66,66,443,TCP,HTTPS
67,67,443,TCP,HTTPS
68,68,443,TCP,HTTPS
69,69,80,TCP,HTTP
70,70,443,UDP,HTTPS
71,71,21,TCP,FTP
72,72,443,TCP,HTTPS
73,73,80,TCP,HTTP
74,74,80,TCP,HTTP
75,75,53,UDP,DNS
76,76,80,TCP,HTTP
77,77,3689,UDP,SIP
78,78,443,TCP,HTTPS
79,79,8080,TCP,HTTP
80,80,443,TCP,HTTPS
81,81,443,TCP,HTTPS
82,82,443,UDP,HTTPS
83,83,443,TCP,HTTPS
84,84,443,TCP,HTTPS
85,85,80,TCP,HTTP
86,86,443,TCP,HTTPS
87,87,443,TCP,HTTPS
88,88,443,TCP,HTTPS
89,89,443,TCP,HTTPS
90,90,443,TCP,HTTPS
91,91,53,UDP,DNS
92,92,3128,TCP,HTTP
93,93,53,UDP,DNS
94,94,6969,TCP,DNS
