Unnamed: 0,DESTPORT,PROTOCOL,SERVICE,INDEX_COLUMN
0,443,TCP,HTTPS,0
1,443,TCP,HTTPS,1
2,443,TCP,HTTPS,2
3,443,TCP,HTTPS,3
4,443,TCP,HTTPS,4
5,3128,TCP,HTTP,5
6,443,TCP,HTTPS,6
7,53,UDP,DNS,7
8,53,UDP,DNS,8
9,443,TCP,HTTPS,9
10,443,TCP,HTTPS,10
11,443,TCP,HTTPS,11
12,21,TCP,FTP,12
13,53,UDP,DNS,13
14,443,TCP,HTTPS,14
15,443,TCP,HTTPS,15
16,443,TCP,HTTPS,16
17,22,UDP,ICAP,17
18,443,TCP,HTTPS,18
19,53,UDP,DNS,19
20,53,UDP,DNS,20
21,21,TCP,FTP,21
22,443,TCP,HTTPS,22
23,443,TCP,HTTPS,23
24,443,TCP,HTTPS,24
25,80,TCP,HTTP,25
26,80,TCP,HTTP,26
27,53,UDP,DNS,27
28,443,TCP,HTTPS,28
29,443,TCP,HTTPS,29
30,443,TCP,HTTPS,30
31,443,TCP,HTTPS,31
32,443,TCP,HTTPS,32
33,443,TCP,HTTPS,33
34,443,TCP,HTTPS,34
35,22,TCP,SSH,35
36,443,TCP,HTTPS,36
37,443,TCP,HTTPS,37
38,443,UDP,HTTPS,38
39,80,TCP,HTTP,39
40,443,TCP,HTTPS,40
41,443,TCP,HTTPS,41
42,443,TCP,HTTPS,42
43,443,TCP,HTTPS,43
44,443,TCP,HTTPS,44
45,443,TCP,HTTPS,45
46,443,TCP,HTTPS,46
47,21,TCP,FTP,47
48,443,TCP,HTTPS,48
49,80,TCP,HTTP,49
50,443,TCP,HTTPS,50
51,443,TCP,HTTPS,51
52,53,UDP,DNS,52
53,443,TCP,HTTPS,53
54,443,TCP,HTTPS,54
55,80,TCP,HTTP,55
56,443,TCP,HTTPS,56
57,443,TCP,HTTPS,57
58,443,TCP,HTTPS,58
59,443,TCP,HTTPS,59
60,443,TCP,HTTPS,60
61,5222,TCP,XMPP,61
62,443,TCP,HTTPS,62
63,443,TCP,HTTPS,63
64,3128,TCP,HTTP,64
65,80,TCP,HTTP,65
66,53,UDP,DNS,66
67,443,TCP,HTTPS,67
68,53,UDP,DNS,68
69,3128,TCP,HTTP,69
70,443,UDP,HTTPS,70
71,443,TCP,HTTPS,71
72,993,UDP,DAAPD,72
73,80,TCP,HTTP,73
74,443,TCP,HTTPS,74
75,443,TCP,HTTPS,75
76,80,TCP,HTTP,76
77,21,TCP,FTP,77
78,443,TCP,HTTPS,78
79,3128,TCP,HTTP,79
80,443,TCP,HTTPS,80
81,443,TCP,HTTPS,81
82,443,TCP,HTTPS,82
83,443,TCP,HTTPS,83
84,21,TCP,FTP,84
85,443,TCP,HTTPS,85
86,443,TCP,HTTPS,86
87,443,TCP,HTTPS,87
88,443,TCP,HTTPS,88
89,53,UDP,DNS,89
90,443,TCP,HTTPS,90
91,443,TCP,HTTPS,91
92,21,TCP,FTP,92
93,443,TCP,HTTPS,93
94,443,TCP,HTTPS,94
95,443,TCP,HTTPS,95
96,443,TCP,HTTPS,96
97,443,TCP,HTTPS,97
98,53,UDP,DNS,98
99,443,TCP,HTTPS,99
100,443,TCP,HTTPS,100
101,443,TCP,HTTPS,101
102,443,TCP,HTTPS,102
103,53,UDP,DNS,103
104,443,TCP,HTTPS,104
105,443,TCP,HTTPS,105
106,443,TCP,HTTPS,106
107,53,TCP,DNS,107
108,443,TCP,HTTPS,108
109,443,UDP,HTTPS,109
110,443,TCP,HTTPS,110
111,53,UDP,DNS,111
112,443,TCP,HTTPS,112
113,443,TCP,HTTPS,113
114,53,UDP,DNS,114
115,21,TCP,FTP,115
116,3689,UDP,EMS,116
117,443,TCP,HTTPS,117
118,53,UDP,DNS,118
119,443,TCP,HTTPS,119
120,443,TCP,HTTPS,120
121,443,TCP,HTTPS,121
122,53,UDP,DNS,122
123,443,TCP,HTTPS,123
124,443,TCP,HTTPS,124
125,443,TCP,HTTPS,125
126,21,TCP,FTP,126
127,443,TCP,HTTPS,127
128,443,TCP,HTTPS,128
129,80,TCP,HTTP,129
130,21,TCP,FTP,130
131,443,TCP,HTTPS,131
132,443,TCP,HTTPS,132
133,21,TCP,FTP,133
134,80,TCP,HTTP,134
135,443,TCP,HTTPS,135
136,443,TCP,HTTPS,136
137,443,TCP,HTTPS,137
138,3128,TCP,HTTP,138
139,443,TCP,HTTPS,139
140,53,UDP,DNS,140
141,21,TCP,FTP,141
142,443,TCP,HTTPS,142
143,443,UDP,HTTPS,143
144,21,TCP,FTP,144
145,443,TCP,HTTPS,145
146,443,TCP,HTTPS,146
147,53,UDP,DNS,147
148,443,TCP,HTTPS,148
149,53,UDP,DNS,149
150,443,TCP,HTTPS,150
151,443,UDP,HTTPS,151
152,21,TCP,FTP,152
153,443,TCP,HTTPS,153
154,137,TCP,VNC,154
155,443,UDP,HTTPS,155
156,443,TCP,HTTPS,156
157,443,TCP,HTTPS,157
158,53,TCP,MDS,158
159,443,TCP,HTTPS,159
160,443,TCP,HTTPS,160
161,443,TCP,HTTPS,161
162,443,TCP,HTTPS,162
163,53,UDP,DNS,163
164,5432,UDP,TELNET,164
165,53,UDP,DNS,165
166,3128,TCP,HTTP,166
167,21,TCP,FTP,167
168,443,TCP,HTTPS,168
169,443,TCP,HTTPS,169
170,5222,TCP,XMPP,170
171,443,TCP,HTTPS,171
172,443,TCP,HTTPS,172
173,21,TCP,FTP,173
174,443,TCP,HTTPS,174
175,21,TCP,FTP,175
176,443,TCP,HTTPS,176
177,443,UDP,HTTPS,177
178,443,TCP,HTTPS,178
179,443,TCP,HTTPS,179
180,443,TCP,HTTPS,180
181,443,TCP,HTTPS,181
182,443,TCP,HTTPS,182
183,443,TCP,HTTPS,183
184,53,UDP,DNS,184
185,443,TCP,HTTPS,185
186,443,TCP,HTTPS,186
187,443,TCP,HTTPS,187
188,138,TCP,FTP,188
189,80,TCP,HTTP,189
190,53,TCP,DNS,190
191,443,TCP,HTTPS,191
192,443,TCP,HTTPS,192
193,53,UDP,DNS,193
194,443,TCP,HTTPS,194
195,443,TCP,HTTPS,195
196,443,TCP,HTTPS,196
197,443,TCP,HTTPS,197
198,443,TCP,HTTPS,198
199,443,TCP,HTTPS,199
200,3128,TCP,HTTP,200
201,80,TCP,HTTP,201
202,21,TCP,FTP,202
203,443,TCP,HTTPS,203
204,80,TCP,HTTP,204
205,443,TCP,SIP,205
206,443,TCP,HTTPS,206
207,443,TCP,HTTPS,207
208,443,TCP,HTTPS,208
209,53,UDP,HTTPS,209
210,53,UDP,DNS,210
211,443,TCP,HTTPS,211
212,443,TCP,HTTPS,212
213,1344,TCP,ICAP,213
214,443,TCP,HTTPS,214
215,443,TCP,HTTPS,215
216,443,TCP,HTTPS,216
217,21,TCP,FTP,217
218,5222,TCP,XMPP,218
219,443,UDP,HTTPS,219
220,5432,TCP,SIP,220
221,53,UDP,DNS,221
222,443,TCP,HTTPS,222
223,443,TCP,HTTPS,223
224,443,TCP,HTTPS,224
225,443,UDP,HTTPS,225
226,443,TCP,HTTPS,226
227,1433,TCP,RDP,227
228,53,UDP,DNS,228
229,443,TCP,HTTPS,229
230,443,TCP,HTTPS,230
231,443,TCP,HTTPS,231
232,443,TCP,HTTPS,232
233,80,TCP,HTTP,233
234,8080,TCP,HTTP,234
235,443,TCP,HTTPS,235
236,443,TCP,HTTPS,236
237,443,TCP,HTTPS,237
238,80,TCP,HTTP,238
239,443,TCP,HTTPS,239
240,443,UDP,HTTPS,240
241,21,TCP,FTP,241
242,443,TCP,HTTPS,242
243,80,TCP,HTTP,243
244,21,TCP,FTP,244
245,443,TCP,HTTPS,245
246,443,TCP,HTTPS,246
247,443,TCP,HTTPS,247
248,80,TCP,HTTP,248
249,3689,TCP,DAAPD,249
250,443,TCP,HTTPS,250
251,53,UDP,DNS,251
252,443,TCP,HTTPS,252
253,443,TCP,HTTPS,253
254,53,UDP,DNS,254
255,443,TCP,HTTPS,255
256,443,TCP,HTTPS,256
257,443,TCP,HTTPS,257
258,53,UDP,DNS,258
259,443,TCP,HTTPS,259
260,443,TCP,HTTPS,260
261,443,TCP,HTTPS,261
262,443,TCP,HTTPS,262
263,443,UDP,HTTPS,263
264,443,TCP,HTTPS,264
265,443,TCP,HTTPS,265
266,443,TCP,HTTPS,266
267,443,TCP,HTTPS,267
268,161,TCP,HPSERVICE,268
269,443,TCP,HTTPS,269
270,5222,UDP,UBIQUITY,270
271,53,UDP,DNS,271
272,443,TCP,HTTPS,272
273,993,UDP,DAAPD,273
274,443,TCP,HTTPS,274
275,53,UDP,DNS,275
276,443,UDP,HTTPS,276
277,443,TCP,HTTPS,277
278,443,TCP,HTTPS,278
279,53,UDP,DNS,279
280,443,TCP,HTTPS,280
281,5061,UDP,SNMP,281
282,80,TCP,HTTP,282
283,443,TCP,HTTPS,283
284,443,TCP,HTTPS,284
285,443,TCP,HTTPS,285
286,53,UDP,DNS,286
287,21,TCP,FTP,287
288,443,TCP,HTTPS,288
289,443,TCP,HTTPS,289
290,443,TCP,HTTPS,290
291,21,TCP,FTP,291
292,443,UDP,HTTPS,292
293,5222,TCP,XMPP,293
294,443,TCP,HTTPS,294
295,21,TCP,FTP,295
296,443,TCP,HTTPS,296
297,53,UDP,DNS,297
298,5060,UDP,SIP,298
299,53,UDP,DNS,299
300,5900,UDP,NETBIOS,300
301,443,TCP,HTTPS,301
302,443,TCP,HTTPS,302
303,443,TCP,HTTPS,303
304,53,TCP,UBIQUITY,304
305,443,TCP,HTTPS,305
306,443,TCP,HTTPS,306
307,443,TCP,HTTPS,307
308,443,TCP,HTTPS,308
309,443,TCP,HTTPS,309
310,443,TCP,HTTPS,310
311,443,TCP,HTTPS,311
312,443,TCP,HTTPS,312
313,443,TCP,HTTPS,313
314,443,TCP,HTTPS,314
315,443,TCP,HTTPS,315
316,443,TCP,HTTPS,316
317,443,TCP,HTTPS,317
318,53,UDP,DNS,318
319,443,TCP,HTTPS,319
320,443,TCP,HTTPS,320
321,443,TCP,HTTPS,321
322,443,TCP,HTTPS,322
323,443,TCP,HTTPS,323
324,443,TCP,HTTPS,324
325,443,TCP,HTTPS,325
326,443,TCP,HTTPS,326
327,443,TCP,HTTPS,327
328,443,TCP,HTTPS,328
329,443,TCP,HTTPS,329
330,443,TCP,HTTPS,330
331,443,TCP,HTTPS,331
332,443,TCP,HTTPS,332
333,587,TCP,FTP,333
334,443,TCP,HTTPS,334
335,80,TCP,HTTP,335
336,443,TCP,HTTPS,336
337,443,TCP,HTTPS,337
338,443,TCP,HTTPS,338
339,443,TCP,HTTPS,339
340,443,TCP,HTTPS,340
341,443,TCP,HTTPS,341
342,443,TCP,HTTPS,342
343,443,TCP,HTTPS,343
